Frequency (Hz)	Level (dB)
209.960938	-44.776417
210.449219	-44.618507
210.937500	-44.607761
211.425781	-43.454391
211.914062	-44.572994
212.402344	-46.223431
212.890625	-45.602257
213.378906	-44.978664
213.867188	-43.429695
214.355469	-44.969910
214.843750	-43.642559
215.332031	-43.634289
215.820312	-44.670879
216.308594	-44.368568
216.796875	-44.515858
217.285156	-46.460991
217.773438	-44.684223
218.261719	-44.798141
218.750000	-44.839901
219.238281	-46.694668
219.726562	-43.093830
220.214844	-44.564507
220.703125	-47.626411
221.191406	-48.734085
221.679688	-45.854084
222.167969	-45.835979
222.656250	-47.159969
223.144531	-48.415432
223.632812	-48.985203
224.121094	-46.563000
224.609375	-48.372425
225.097656	-46.548801
225.585938	-46.956844
226.074219	-47.017769
226.562500	-46.860382
227.050781	-48.154194
227.539062	-48.662888
228.027344	-47.191669
228.515625	-48.239098
229.003906	-48.766308
229.492188	-49.862350
229.980469	-49.867035
230.468750	-50.804771
230.957031	-47.673935
231.445312	-49.980091
231.933594	-52.976421
232.421875	-49.776333
232.910156	-48.804733
233.398438	-49.720100
233.886719	-48.277279
234.375000	-49.234467
234.863281	-50.536423
235.351562	-50.042233
235.839844	-50.955288
236.328125	-51.412514
236.816406	-51.726883
237.304688	-49.404976
237.792969	-52.254696
238.281250	-50.858238
238.769531	-50.968735
239.257812	-49.675201
239.746094	-50.139751
240.234375	-51.877056
240.722656	-51.352764
241.210938	-50.532455
241.699219	-52.332741
242.187500	-51.528156
242.675781	-51.024315
243.164062	-51.669212
243.652344	-49.475197
244.140625	-53.423405
244.628906	-52.379211
245.117188	-53.169754
245.605469	-52.357689
246.093750	-53.463421
246.582031	-49.638245
247.070312	-48.573460
247.558594	-51.400295
248.046875	-52.506638
248.535156	-51.238377
249.023438	-53.153145
249.511719	-50.559067
250.000000	-51.009323
250.488281	-51.471710
250.976562	-51.103485
251.464844	-51.260204
251.953125	-51.934219
252.441406	-54.589233
252.929688	-53.066547
253.417969	-53.921516
253.906250	-51.627701
254.394531	-53.409012
254.882812	-52.979073
255.371094	-53.045143
255.859375	-52.789333
256.347656	-53.600025
256.835938	-52.297241
257.324219	-51.160240
257.812500	-49.463360
258.300781	-51.300110
258.789062	-53.494068
259.277344	-51.400093
259.765625	-53.704796
260.253906	-50.510185
260.742188	-51.890697
261.230469	-51.652912
261.718750	-54.762188
262.207031	-52.358646
262.695312	-50.406227
263.183594	-52.816845
263.671875	-52.287476
264.160156	-53.196526
264.648438	-52.443367
265.136719	-53.365345
265.625000	-51.825581
266.113281	-52.322906
266.601562	-54.045967
267.089844	-52.010422
267.578125	-53.019634
268.066406	-52.695496
268.554688	-54.000244
269.042969	-52.493015
269.531250	-51.465454
270.019531	-53.475224
270.507812	-52.378719
270.996094	-54.292641
271.484375	-51.941994
271.972656	-52.872601
272.460938	-52.172962
272.949219	-53.544109
273.437500	-53.641453
273.925781	-53.459091
274.414062	-54.989594
274.902344	-52.159664
275.390625	-51.747433
275.878906	-53.515640
276.367188	-51.632820
276.855469	-53.667778
277.343750	-54.250328
277.832031	-53.428539
278.320312	-52.849403
278.808594	-52.084549
279.296875	-55.318081
279.785156	-52.063271
280.273438	-51.683876
280.761719	-53.026466
281.250000	-54.372135
281.738281	-53.921463
282.226562	-52.830799
282.714844	-54.046951
283.203125	-56.302395
283.691406	-56.272163
284.179688	-53.982349
284.667969	-53.579453
285.156250	-52.423721
285.644531	-53.283150
286.132812	-52.835224
286.621094	-52.125507
287.109375	-53.045078
287.597656	-53.157646
288.085938	-53.549725
288.574219	-52.741646
289.062500	-55.438995
289.550781	-53.027439
290.039062	-53.873669
290.527344	-51.928562
291.015625	-53.029633
291.503906	-53.213497
291.992188	-53.955948
292.480469	-54.976074
292.968750	-55.624123
293.457031	-54.394779
293.945312	-54.103912
294.433594	-53.087303
294.921875	-54.174057
295.410156	-53.584824
295.898438	-53.561226
296.386719	-55.849686
296.875000	-55.362274
297.363281	-54.054768
297.851562	-54.492043
298.339844	-55.153252
298.828125	-55.374439
299.316406	-54.811874
299.804688	-54.517796
300.292969	-52.757648
300.781250	-52.539665
301.269531	-53.090729
301.757812	-52.535717
302.246094	-52.681164
302.734375	-54.147957
303.222656	-52.300751
303.710938	-53.586437
304.199219	-53.211559
304.687500	-54.287636
305.175781	-54.634254
305.664062	-53.209995
306.152344	-55.270237
306.640625	-54.680977
307.128906	-53.586105
307.617188	-53.857876
308.105469	-54.136452
308.593750	-54.062744
309.082031	-53.702366
309.570312	-52.501049
310.058594	-54.525093
310.546875	-58.170856
311.035156	-53.917061
311.523438	-53.571945
312.011719	-52.629509
312.500000	-52.408592
312.988281	-54.638111
313.476562	-53.232494
313.964844	-53.262497
314.453125	-54.131653
314.941406	-54.623310
315.429688	-54.798912
315.917969	-54.968735
316.406250	-54.720978
316.894531	-52.630352
317.382812	-54.446297
317.871094	-53.963577
318.359375	-53.960556
318.847656	-52.914013
319.335938	-54.890285
319.824219	-54.440826
320.312500	-57.250282
320.800781	-55.976383
321.289062	-52.250427
321.777344	-52.892017
322.265625	-55.328835
322.753906	-54.610481
323.242188	-53.767303
323.730469	-53.544964
324.218750	-54.027454
324.707031	-55.878803
325.195312	-55.097450
325.683594	-56.184166
326.171875	-55.273125
326.660156	-55.534008
327.148438	-54.610176
327.636719	-54.276665
328.125000	-53.938728
328.613281	-53.195614
329.101562	-53.566406
329.589844	-55.276375
330.078125	-54.249424
330.566406	-56.468494
331.054688	-53.608402
331.542969	-55.192379
332.031250	-55.317215
332.519531	-54.747746
333.007812	-53.741253
333.496094	-53.644043
333.984375	-53.347198
334.472656	-55.065102
334.960938	-56.254894
335.449219	-55.264530
335.937500	-53.963097
336.425781	-55.228588
336.914062	-54.561161
337.402344	-52.766354
337.890625	-57.158245
