Date,Time,Lab_Temp_C,Lab_Pressure_kPa,Lab_Rel_Humidity,Gas_Flow_LPM,FlowSens_Gas_Temp_C,Thermocouple1_Temp_C,Thermocouple2_Temp_C,Purge_Gas
1/31/2025,54:46.5,24.21,97.829,27.481,0,23.665,21.94,21.42,None
1/31/2025,54:46.7,24.2,97.83,27.47,0,23.65,21.93,21.42,None
1/31/2025,54:47.0,24.2,97.83,27.47,0,23.65,21.93,21.44,None
1/31/2025,54:47.2,24.2,97.83,27.47,0,23.65,21.93,21.44,None
1/31/2025,54:47.5,24.2,97.828,27.47,0,23.635,21.96,21.44,None
1/31/2025,54:47.7,24.2,97.828,27.47,0,23.635,21.96,21.5,None
1/31/2025,54:48.0,24.2,97.828,27.481,0,23.64,21.96,21.5,None
1/31/2025,54:48.2,24.2,97.828,27.481,0,23.64,21.89,21.5,None
1/31/2025,54:48.5,24.2,97.828,27.481,0,23.64,21.89,21.42,None
1/31/2025,54:48.7,24.2,97.827,27.491,0,23.625,21.89,21.42,None
1/31/2025,54:49.0,24.2,97.827,27.491,0,23.625,21.93,21.42,None
1/31/2025,54:49.2,24.2,97.827,27.491,0,23.625,21.93,21.45,None
1/31/2025,54:49.5,24.2,97.827,27.486,0,23.6,21.93,21.45,None
1/31/2025,54:49.7,24.2,97.827,27.486,0,23.6,21.93,21.45,None
1/31/2025,54:50.0,24.2,97.827,27.486,0,23.6,21.93,21.45,None
1/31/2025,54:50.2,24.21,97.827,27.481,0,23.635,21.93,21.45,None
1/31/2025,54:50.5,24.21,97.827,27.481,0,23.635,21.94,21.43,None
1/31/2025,54:50.7,24.21,97.827,27.481,0,23.635,21.94,21.43,None
1/31/2025,54:51.0,24.21,97.826,27.481,0,23.65,21.88,21.43,None
1/31/2025,54:51.2,24.21,97.826,27.481,0,23.65,21.88,21.44,None
1/31/2025,54:51.5,24.21,97.826,27.481,0,23.65,21.88,21.44,None
1/31/2025,54:51.7,24.21,97.828,27.486,0,23.675,21.95,21.44,None
1/31/2025,54:52.0,24.21,97.828,27.486,0,23.675,21.95,21.52,None
1/31/2025,54:52.2,24.21,97.828,27.476,0,23.645,21.95,21.52,None
1/31/2025,54:52.5,24.21,97.828,27.476,0,23.645,21.96,21.52,None
1/31/2025,54:52.7,24.21,97.828,27.476,0,23.645,21.96,21.44,None
1/31/2025,54:53.0,24.21,97.827,27.476,0,23.66,21.96,21.44,None
1/31/2025,54:53.3,24.21,97.827,27.476,0,23.66,21.96,21.44,None
1/31/2025,54:53.5,24.21,97.827,27.476,0,23.66,21.96,21.59,None
1/31/2025,54:53.8,24.21,97.827,27.476,0,23.615,21.96,21.59,None
1/31/2025,54:54.0,24.21,97.827,27.476,0,23.615,21.96,21.55,None
1/31/2025,54:54.3,24.21,97.827,27.476,0,23.615,21.96,21.55,None
1/31/2025,54:54.5,24.21,97.827,27.471,0,23.64,21.96,21.55,None
1/31/2025,54:54.8,24.21,97.827,27.471,0,23.64,21.96,21.48,None
1/31/2025,54:55.0,24.21,97.827,27.471,0,23.64,21.96,21.48,None
1/31/2025,54:55.3,24.21,97.826,27.465,0,23.665,21.96,21.48,None
1/31/2025,54:55.5,24.21,97.826,27.465,0,23.665,21.96,21.41,None
1/31/2025,54:55.8,24.21,97.826,27.465,0,23.665,21.96,21.41,None
1/31/2025,54:56.0,24.21,97.828,27.476,0,23.64,21.96,21.41,None
1/31/2025,54:56.3,24.21,97.828,27.476,0,23.64,21.96,21.46,None
1/31/2025,54:56.5,24.21,97.828,27.476,0,23.64,21.96,21.46,None
1/31/2025,54:56.8,24.21,97.831,27.492,0,23.61,21.95,21.46,None
1/31/2025,54:57.1,24.21,97.831,27.492,0,23.61,21.95,21.48,None
1/31/2025,54:57.3,24.21,97.829,27.47,0,23.69,21.95,21.48,None
1/31/2025,54:57.6,24.21,97.829,27.47,0,23.69,21.96,21.48,None
1/31/2025,54:57.8,24.21,97.829,27.47,0,23.69,21.96,21.48,None
1/31/2025,54:58.1,24.2,97.83,27.492,0,23.66,21.96,21.48,None
1/31/2025,54:58.3,24.2,97.83,27.492,0,23.66,22,21.48,None
